기준일ID,시간대구분,행정동코드,총생활인구수
20190117,6,11440710,24182.6165
20190117,7,11440660,53468.2138
20190117,7,11440710,23075.2286
20190117,8,11440660,63316.8685
20190117,8,11440710,21034.1352
20190117,9,11440660,74888.3922
20190117,9,11440710,20256.4653
20190117,10,11440660,82941.6181
20190117,10,11440710,19998.0319
20190117,11,11440660,89988.1227
20190117,11,11440710,19706.8156
20190117,12,11440660,98190.4319
20190117,12,11440710,20098.1813
20190117,13,11440660,104792.2326
20190117,13,11440710,20258.5285
20190117,14,11440660,108976.6501
20190117,14,11440710,20195.9767
20190117,15,11440660,112889.621
20190117,15,11440710,20566.6137
20190117,16,11440660,114337.1864
20190117,16,11440710,20923.3872
20190117,17,11440660,117078.8592
20190117,17,11440710,21718.074
20190117,18,11440660,121241.7281
20190117,18,11440710,23144.9064
20190117,19,11440660,120836.1798
20190117,19,11440710,24235.9661
20190117,20,11440660,114257.1698
20190117,20,11440710,25081.9106
20190117,21,11440660,103733.7213
20190117,21,11440710,24226.9637
20190117,22,11440660,86457.7772
20190117,22,11440710,23841.4617
20190117,23,11440660,62231.1424
20190117,23,11440710,26555.617
20190118,0,11440660,56731.7243
20190118,0,11440710,26075.5506
20190118,1,11440660,53064.488
20190118,1,11440710,25497.863
20190118,2,11440660,51287.7418
20190118,2,11440710,25288.9675
20190118,3,11440660,50133.1627
20190118,3,11440710,25127.504
20190118,4,11440660,49368.5149
20190118,4,11440710,25072.6546
20190118,5,11440660,49471.5174
20190118,5,11440710,24578.0617
20190118,6,11440660,49655.9568
20190118,6,11440710,24249.1899
20190118,7,11440660,54257.8673
20190118,7,11440710,22957.1876
20190118,8,11440660,64914.3407
20190118,8,11440710,21284.2984
20190118,9,11440660,76809.4697
20190118,9,11440710,20665.3404
20190118,10,11440660,84674.566
20190118,10,11440710,20410.7832
20190118,11,11440660,92885.8036
20190118,11,11440710,20092.3329
20190118,12,11440660,100094.4252
20190118,12,11440710,20740.4861
20190118,13,11440660,106658.3827
20190118,13,11440710,20735.67
20190118,14,11440660,110909.5827
20190118,14,11440710,20681.7044
20190118,15,11440660,114271.2906
20190118,15,11440710,21076.3144
20190118,16,11440660,117216.3918
20190118,16,11440710,21093.2272
20190118,17,11440660,121335.26
20190118,17,11440710,21967.9828
20190118,18,11440660,127511.4605
20190118,18,11440710,23667.1672
20190118,19,11440660,131967.971
20190118,19,11440710,25751.9321
20190118,20,11440660,129220.4318
20190118,20,11440710,26995.6849
20190118,21,11440660,121486.4016
20190118,21,11440710,26751.7621
20190118,22,11440660,105433.8208
20190118,22,11440710,25926.2991
20190118,23,11440660,78981.8238
20190118,23,11440710,27712.0827
20190119,0,11440660,71095.3091
20190119,0,11440710,26710.5237
20190119,1,11440660,66004.9357
20190119,1,11440710,26731.638
20190119,2,11440660,62195.5842
20190119,2,11440710,26386.0537
20190119,3,11440660,59434.9526
20190119,3,11440710,26309.3577
20190119,4,11440660,57276.4551
20190119,4,11440710,26677.404
