기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20191,11440660,서교동,CS200019,PC방,93631156,12830,56202889,37428267,12621900,12547308,11140228,9601903,10291550,19212303,18215964,15014776,5035815,7686147,16406464,30386308,19101646,70844189,22786967,3150206,62141483,14952486,5821380,7067696,497905,8266,4564,1654,1683,1566,1623,1740,2359,2205,2613,865,1037,2089,3629,2597,10505,2325,504,8627,1978,809,824,88
20191,11440660,서교동,CS300018,의약품,6238708936,493770,5114055893,1124653043,1058898084,913298504,926061872,1223639269,992158164,911713080,212939963,425666,1127230846,1577606105,1908561216,1452618486,172266617,2807988809,3424400632,24997450,1181025970,1065089138,1292478644,1139377250,1529420987,401354,92416,84115,74927,75407,85670,81235,69208,23208,69,72767,126793,139983,134586,19572,198562,295070,4043,149453,102220,79067,78798,80050
20191,11440660,서교동,CS300017,시계및귀금속,468065364,2830,362141201,105924163,65102785,92528018,37317295,66128739,101064364,70043026,35881137,0,17909903,147332221,200358560,102464680,0,283110802,153608842,1197506,99876661,69059139,71770644,107719639,87096057,2114,716,397,426,349,362,580,520,196,0,188,728,1106,808,0,1461,1331,31,897,596,518,416,334
20191,11440660,서교동,CS300029,애완동물,185325125,4833,100161833,85163292,15102686,26607050,14625007,19887538,23939552,34823954,50339338,2670212,3153658,27645000,60362059,83260493,8233703,117522012,67803113,264337,51419882,43299845,52566442,30160195,7614424,2870,1963,475,602,475,545,773,1010,953,117,97,684,1380,2262,293,2720,2113,19,1571,1067,1175,734,267
20191,11440710,연남동,CS100001,한식음식점,6280617882,137971,3777001848,2503616034,604986460,689971838,717447211,758697978,1005898361,1427121129,1076494905,258675778,11531324,941010583,832604183,2952526256,1284269758,3117760776,2515992130,20470195,1290018033,1226005528,1354539430,1009325621,733394090,91394,46577,15970,16455,17330,19046,22593,26380,20197,5320,1076,31671,21246,56218,22440,67612,61998,1051,40294,30104,24150,20093,13919
20191,11440710,연남동,CS200003,예술학원,217537441,357,197834457,19702984,0,16991986,78789175,66028314,36024982,19702984,0,0,155642,21103762,75751181,120526856,0,119733518,78917039,0,6499273,20886884,7694656,163569744,0,334,23,0,73,94,121,46,23,0,0,2,24,143,188,0,210,123,0,49,27,70,187,0
20191,11440710,연남동,CS200037,노래방,29020659,1183,16948897,12071762,3606278,3135375,3340426,3107990,3758828,7469141,4602621,10977320,0,0,238727,4498237,13306375,16245374,12338510,611140,8049985,13750002,3757802,2414954,0,716,467,137,119,121,131,208,260,207,495,0,0,10,195,483,700,466,29,428,508,108,93,0
20191,11440660,서교동,CS200005,스포츠 강습,559276740,1248,541183491,18093249,101616793,77969377,86786934,186490849,88319538,16723917,1369332,3257375,11240967,114639121,58342363,326282731,45514183,43124720,513510406,15310007,170019322,230938971,87417332,38484833,14464662,1165,83,295,188,232,297,153,65,18,24,62,248,150,649,115,228,983,12,320,378,318,138,44
20191,11440660,서교동,CS200032,가전제품수리,453013893,1034,450963168,2050725,75326874,63180549,9953084,116669270,185833391,2050725,0,0,325791323,20935949,13753995,92532626,0,427850385,17411417,0,4869869,3208846,324279797,102114470,10788819,989,45,212,203,124,273,177,45,0,0,362,379,213,80,0,629,361,0,140,73,276,242,259
20191,11440710,연남동,CS300033,철물점,127643420,6169,88044714,39598706,25129126,13760831,9751740,13297587,26105430,33515191,6083515,0,5089328,40180792,47871916,32550383,1951001,66513014,50801641,487750,9014249,26885647,21447525,55193985,4285499,4695,1474,1007,883,962,887,956,910,564,0,657,1663,2504,1247,98,2745,2829,98,631,1192,1531,1576,549
20191,11440710,연남동,CS300043,전자상거래업,2883481349,60353,1426660756,1456820593,152425367,270556145,180334973,338679413,484664858,845546802,611273791,0,0,267760225,1141637741,1356499880,117583503,169243533,2681645223,0,1662951573,803188249,235479156,104725904,44543874,30201,30152,3056,5722,4091,7223,10109,18080,12072,0,0,5224,26549,26101,2479,4018,56261,0,38686,14201,3286,3015,1091
20191,11440660,서교동,CS300028,화초,1191976221,47570,807375809,384600412,107871314,126473874,170547911,221888440,180594270,274521869,110078543,2081738,44181340,260146214,324406498,490863561,70296870,496863262,606100984,17373650,429005990,432707593,113005638,73046380,37824992,31747,15823,4599,5094,6056,8369,7629,9594,6229,61,1470,7375,12456,22702,3506,22269,24201,962,24180,13572,4383,2518,855
20191,11440660,서교동,CS300032,가전제품,28598721,20,0,28598721,0,0,0,0,0,8009289,20589432,0,0,8009289,20589432,0,0,28598721,0,0,0,0,0,0,28598721,10,10,0,0,0,0,10,5,5,0,0,5,15,0,0,10,10,0,0,0,0,10,10
20191,11440660,서교동,CS300026,완구,111419074,2705,66340978,45078096,5029152,12560413,16728338,15045700,16977375,21998161,23079935,1416782,1508923,3045743,20763294,48831086,35853246,104778754,6640320,1474688,29242809,77321926,835614,2418082,125955,1462,1243,178,262,228,346,448,604,639,38,43,88,762,1246,528,2531,174,67,986,1581,38,25,8
20191,11440710,연남동,CS100002,중식음식점,1261679355,33020,752964232,508715123,137825341,109974147,144899205,144668109,215597430,273432620,235282503,156625456,1772494,164266642,109184156,540613116,289217491,669591217,466613285,1657705,344301497,388813379,176989129,159246353,65196443,19621,13399,3090,3362,3798,3595,5776,7248,6151,3236,111,6303,4232,14072,5066,17755,13240,94,9540,10084,4754,4714,1810
20191,11440710,연남동,CS200007,치과의원,572447820,6213,518826050,53621770,142280697,127204842,125124289,65292735,58923487,53621770,0,0,46028529,166905880,234908382,124096912,508117,287969181,284478639,0,71356184,102323752,115579456,68180171,215008257,5500,713,1270,1213,1203,855,959,713,0,0,802,2058,2105,1228,20,3144,3069,0,770,1547,1427,973,1496
20191,11440660,서교동,CS200007,치과의원,3100810753,24914,2905811516,194999237,539854078,662897574,568720750,693399906,440939208,194999237,0,0,336698624,1062207465,1162818598,537770741,1315325,1666089410,1434721343,1573871,333700514,362216710,667244880,872823800,863250978,22299,2615,4469,4440,3982,5401,4007,2615,0,0,3729,7703,9696,3781,5,11196,13718,69,4198,4626,5031,5963,5027
20191,11440660,서교동,CS300015,가방,791853938,23251,440529163,351324775,58794864,82065157,74363780,111496668,113808694,188673412,162651363,0,289105,39995906,278564042,377457596,95547289,375538839,413171528,31934599,505452946,106283230,68632759,59835637,16571196,12995,10256,2347,2707,2493,2632,2816,5451,4805,0,27,1040,7501,11088,3595,10516,12688,1339,14779,3083,2042,1705,256
20191,11440660,서교동,CS300001,슈퍼마켓,1570447539,114526,1009532325,560915214,193521580,182373377,191730550,194013440,247893378,309245061,251670153,14927167,34761133,183140085,361256568,699216890,277145696,579154618,968998701,37220265,812767700,327630918,179408901,125389819,65735720,75398,39128,13017,14333,15664,15507,16877,21931,17197,1381,4321,14558,24807,45321,24138,39710,74073,3441,60296,24049,14431,8218,3347
20191,11440660,서교동,CS200031,세탁소,51751410,3267,36695575,15055835,8224868,5489644,7021454,8448313,7511296,15055835,0,0,6865745,17993038,15400232,11492395,0,18897099,29533388,47430,7510834,14933568,16082796,6428185,3427674,2411,856,519,384,551,476,481,856,0,0,458,1013,896,900,0,1419,1744,10,526,1002,1008,476,141
20191,11440660,서교동,CS300019,의료기기,231153310,415,172674304,58479006,0,0,0,98165138,74509166,8834862,49644144,0,0,17153310,205165138,8834862,0,0,231153310,0,0,0,0,98165138,132988172,269,146,0,0,0,98,171,98,48,0,0,123,194,98,0,0,415,0,0,0,0,98,317
