기준_년분기_코드,행정동_코드,행정동_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20224,11200615,금호2?3가동,6382643,2883275,3499368,1085617,639819,1062216,1075014,965954,1554022,1826425,1277075,651008,677710,1063397,887028,909955,887443,887362,885167,880240,953385,979089
20224,11200620,금호4가동,2983021,1338557,1644465,439445,298119,554042,521374,435090,734951,782723,609702,328921,347690,516186,397799,420633,416097,416556,419001,421573,444686,444475
20231,11200615,금호2?3가동,6545677,2951220,3594458,1107411,675203,1086313,1113656,978601,1584496,1851990,1321332,685893,699858,1087401,899204,922564,912752,920455,910794,910499,973346,995268
20231,11200620,금호4가동,2965226,1332853,1632373,431725,304716,539842,518373,440475,730096,765751,597820,331355,349745,522756,397799,414151,416508,415412,415600,417657,442232,443664
20231,11200590,금호1가동,3528004,1555365,1972639,626740,325828,629199,678933,487523,779780,909199,737847,393404,410536,613392,463626,492376,491447,493226,488878,491540,528407,542129
20232,11200590,금호1가동,3242485,1422444,1820041,544928,299275,582450,651074,449039,715719,847965,665393,347294,373216,572838,435779,457038,452455,449488,443201,449608,489121,501575
20232,11200615,금호2?3가동,6301428,2830273,3471155,1025993,652471,1061774,1094789,951820,1514580,1788896,1263166,646522,672166,1056734,873947,891045,884992,870959,877727,880614,943522,952568
20232,11200620,금호4가동,2890423,1295936,1594488,389451,300903,536137,506703,446352,710876,757016,585975,312361,334247,505550,395275,408852,405924,405448,403733,407664,429551,429252
20233,11200590,금호1가동,3202194,1402191,1800003,554939,295345,566523,636906,444515,703967,818582,659409,351950,376234,568811,427207,447542,444518,444102,443127,444112,480760,498033
20233,11200615,금호2?3가동,6508017,2937802,3570215,1067269,674714,1081246,1120507,992616,1571665,1849357,1309379,675436,696570,1078775,898500,919260,914076,908228,909281,904475,961369,991328
20233,11200620,금호4가동,2956902,1331137,1625764,417675,316576,531578,514862,452851,723359,781599,604470,323696,340554,508123,398459,418458,414953,416038,416665,417254,434794,438740
20234,11200590,금호1가동,3191938,1393785,1798152,558579,281461,559962,643419,453462,695052,813344,658419,349130,375041,569722,426280,451018,441663,440285,439262,441571,484076,494061
20234,11200615,금호2?3가동,6578299,2977605,3600695,1061963,669860,1101834,1145756,1014432,1584455,1867289,1332986,681877,699955,1092112,904082,935900,919305,913413,915252,917007,982865,994555
20234,11200620,금호4가동,3064288,1396770,1667518,423333,324260,558700,543629,467287,747079,818423,631966,330601,352317,519969,411014,435524,428733,426582,428672,434612,456343,453823
20192,11140625,다산동,3094943,1454004,1640940,380963,489382,529607,486381,434877,773733,784226,640012,383584,376830,513437,396855,447837,451079,451867,451952,448599,422312,421298
20193,11140625,다산동,4627692,2187819,2439873,549981,747772,810749,726724,654498,1137970,1174301,962586,572181,565102,765504,588018,670888,680466,681674,667610,667162,632089,627805
20194,11140625,다산동,4556810,2130264,2426547,541597,748780,819378,717091,643802,1086162,1147633,954521,570343,560945,751938,571432,663474,669834,656585,659254,666315,621199,620150
20201,11140625,다산동,4632750,2158681,2474070,523926,758170,832595,738430,658643,1120984,1180956,970091,572085,563416,758461,587742,670787,679665,674932,675733,670769,630674,630187
20202,11140625,다산동,4559353,2126676,2432677,510125,751916,809815,733762,655617,1098118,1173178,953461,555260,546339,745317,585795,665243,663469,666336,663748,662757,622797,615001
