기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20231,A,골목상권,3110459,응암역 2번,938395,417544,520850,173781,123545,123294,152543,142433,222802,226309,183048,111074,118019,173911,126033,132622,132027,132987,131775,133382,135906,139696
20231,A,골목상권,3110452,새절역 3번,724407,330458,393949,105353,95072,107391,112046,108632,195913,165423,148653,90433,93226,134715,91956,102169,101415,101628,101413,101818,107473,108492
20231,A,골목상권,3110451,증산역 4번,1109701,507247,602454,149823,154042,163095,158777,172158,311806,338459,232591,110205,106160,166249,156036,156836,155156,155195,154733,154135,164408,169238
20231,A,골목상권,3110449,증산역 3번,955981,412297,543686,158661,118824,135629,146731,145542,250597,287191,199405,100403,97420,142842,128722,135995,136278,135900,135736,134053,137773,140245
20231,A,골목상권,3110443,수색역 1번,80395,40607,39789,8744,9703,12181,15158,14490,20119,19557,18411,9946,9760,12842,9878,11533,11732,11741,11729,11754,11126,10781
20231,A,골목상권,3110439,당고개역 5번,1104159,520484,583675,119209,126456,121825,146981,209795,379894,333784,229438,111232,106125,168604,154975,156453,154404,155183,153819,154662,162979,166659
20231,A,골목상권,3110437,당고개역 2번,1480530,693069,787461,182502,148057,164841,205296,281612,498221,255838,286226,203442,219833,327040,188151,205281,204257,204610,203340,204283,226857,231900
20231,A,골목상권,3110434,태릉입구역 4번,514440,232537,281901,61448,114306,72723,66272,75041,124651,143389,107348,56574,56282,84144,66703,73108,72214,72819,72345,72739,75521,75695
20231,A,골목상권,3110433,공릉역 2번,1351637,679786,671851,193713,383567,173499,159213,158317,283330,438537,275223,129260,122992,195428,190198,189596,189883,190782,190082,191736,198957,200601
20231,A,골목상권,3110431,상계역,511290,236399,274891,81845,64441,53664,77526,88526,145289,71072,88145,75536,85771,130233,60534,69269,68756,69125,68927,71165,82726,81325
20231,A,골목상권,3110423,석계역 2번,306768,146448,160321,44325,45880,42572,47704,44044,82242,64361,58915,37226,41694,63822,40752,42588,42916,42559,42743,42903,47045,46014
20231,A,골목상권,3110422,노원역 9번,896467,413119,483349,150394,135188,119130,132208,146204,213345,197997,172583,117126,120103,173745,114912,124646,124920,126046,124766,128157,134405,133526
20231,A,골목상권,3110421,석계역 1번,363850,182637,181214,44810,60510,48828,55576,54970,99157,74804,67982,43764,49297,76205,51801,50818,50833,50596,51574,52198,55436,52397
20231,A,골목상권,3110420,광운대역 1번,476196,256113,220084,76247,123997,53393,60219,57705,104637,104785,96790,63834,63906,87634,59250,69138,69181,68773,68551,66933,66923,66698
