개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명
3030000,3030000-101-2023-00497,2023-11-15,,1,영업/정상,1,영업,,,,,,82.6,133-823,서울특별시 성동구 성수동1가 656-388,"서울특별시 성동구 상원길 49, 2층 (성수동1가)",4789.0,그리너 뚝섬점,2023-11-15 15:58,I,07:00.0,기타
3030000,3030000-101-2023-00503,2023-11-16,,1,영업/정상,1,영업,,,,,,47.08,133-823,서울특별시 성동구 성수동1가 656-3 FORHU,"서울특별시 성동구 왕십리로 58, FORHU 1층 112호 (성수동1가)",4778.0,육타,2023-11-16 15:54,I,08:00.0,기타
3030000,3030000-104-2023-00154,2023-11-17,,1,영업/정상,1,영업,,,,,,28.55,133-924,서울특별시 성동구 성수동1가 656-882 더 스페이스 타워,"서울특별시 성동구 광나루로 144, 더 스페이스 타워 1층 107호 (성수동1가)",4788.0,커피사피엔스 성수 더스페이스점,2023-11-17 17:06,I,09:00.0,커피숍
3030000,3030000-101-2023-00506,2023-11-20,,1,영업/정상,1,영업,,,,,,33,133-835,서울특별시 성동구 성수동2가 301-52,"서울특별시 성동구 연무장길 9-1, 1층 (성수동2가)",4782.0,밀키? 성수 milkyshop seongsu,2023-11-20 15:20,I,02:00.0,기타
3030000,3030000-101-2023-00508,2023-11-21,,1,영업/정상,1,영업,,,,,,116.46,133-824,서울특별시 성동구 성수동1가 668-127,"서울특별시 성동구 서울숲6길 22, 1층 (성수동1가)",4768.0,요시,2023-11-21 15:14,I,03:00.0,기타
3030000,3030000-101-2023-00509,2023-11-21,,1,영업/정상,1,영업,,,,,,88.56,133-834,서울특별시 성동구 성수동2가 289-248,"서울특별시 성동구 아차산로7가길 3-4, 1층 (성수동2가)",4794.0,성수신데렐라,2023-11-21 15:49,I,03:00.0,경양식
3030000,3030000-104-2023-00156,2023-11-23,,3,폐업,2,폐업,2023-11-29,,,,02  22329652,52.0,133-831,서울특별시 성동구 성수동2가 276-8,"서울특별시 성동구 성수이로20길 57, 1층 (성수동2가)",4787.0,카누온더테이블 팝업카페,2023-11-29 11:21,U,01:00.0,기타 휴게음식점
3030000,3030000-101-2023-00514,2023-11-23,,1,영업/정상,1,영업,,,,,,272.4,133-819,서울특별시 성동구 성수동1가 275-6,"서울특별시 성동구 뚝섬로4길 21, 1,2층 (성수동1가)",4775.0,밀스,2023-12-22 11:04,U,04:00.0,기타
3030000,3030000-101-2023-00513,2023-11-23,,1,영업/정상,1,영업,,,,,,129.94,133-819,서울특별시 성동구 성수동1가 275-6,"서울특별시 성동구 뚝섬로4길 21, 지하1층 (성수동1가)",4775.0,마오,2023-11-23 16:04,I,05:00.0,"외국음식전문점(인도,태국등)"
3030000,3030000-101-2023-00512,2023-11-23,,1,영업/정상,1,영업,,,,,,57.52,133-834,서울특별시 성동구 성수동2가 289-18 서울숲 코리아IT센터,"서울특별시 성동구 성수일로12길 26, 서울숲 코리아IT센터 1층 110호 (성수동2가)",4793.0,퀸즈랩,2023-11-23 14:52,I,05:00.0,기타
3030000,3030000-101-2023-00516,2023-11-24,,1,영업/정상,1,영업,,,,,,58.32,133-924,서울특별시 성동구 성수동1가 656-831,"서울특별시 성동구 왕십리로14길 28, 1층 (성수동1가)",4789.0,맷돌감자탕,2023-11-24 13:28,I,06:00.0,한식
3030000,3030000-101-2023-00524,2023-11-29,,1,영업/정상,1,영업,,,,,02  466 7399,536.21,133-827,서울특별시 성동구 성수동2가 321-5,서울특별시 성동구 연무장길 46 (성수동2가),4781.0,프리미스(PRIMISE),2023-11-29 14:37,I,01:00.0,기타
3030000,3030000-101-2023-00523,2023-11-29,,3,폐업,2,폐업,2023-12-19,,,,02  549 9933,70.36,133-824,서울특별시 성동구 성수동1가 668-42,"서울특별시 성동구 서울숲4길 26, 1층 (성수동1가)",4768.0,나따오비까 성수팝업,2023-12-19 9:32,U,01:00.0,기타
3030000,3030000-104-2023-00159,2023-11-29,,1,영업/정상,1,영업,,,,,,51.93,133-831,서울특별시 성동구 성수동2가 276-8,"서울특별시 성동구 성수이로20길 57, 1층 (성수동2가)",4787.0,카누온더테이블 팝업스토어,2023-11-29 11:30,I,01:00.0,커피숍
3030000,3030000-104-2023-00161,2023-11-30,,1,영업/정상,1,영업,,,,,,6.6,133-827,서울특별시 성동구 성수동2가 333-77,"서울특별시 성동구 성수일로4길 33, 1층 (성수동2가)",4781.0,붕빵붕빵,2023-11-30 16:12,I,02:00.0,기타 휴게음식점
3030000,3030000-104-2023-00162,2023-12-04,,1,영업/정상,1,영업,,,,,,26.4,133-828,서울특별시 성동구 성수동2가 339-130,"서울특별시 성동구 성덕정길 81, 1층 (성수동2가)",4775.0,진에프엔비,2023-12-04 12:31,I,06:00.0,아이스크림
3030000,3030000-101-2023-00534,2023-12-06,,1,영업/정상,1,영업,,,,,,46.73,133-829,서울특별시 성동구 성수동2가 574-5,"서울특별시 성동구 성덕정길 120, 2층 (성수동2가)",4776.0,성수 닭발 맛있는 집,2023-12-06 15:48,I,08:00.0,기타
3030000,3030000-101-2023-00532,2023-12-06,,1,영업/정상,1,영업,,,,,,112.81,133-823,서울특별시 성동구 성수동1가 656-1731 누디트 서울숲,"서울특별시 성동구 아차산로 6, 누디트 서울숲 3층 (성수동1가)",4778.0,립서비스,2023-12-06 10:06,I,08:00.0,기타
