매장,매장명,판매일자,전표번호,브랜드명,카테고리,판매상품,결제수단,판매금액,환불금액,판매수량,환불수량,본사바코드,비고
M012,이마트_월계점,2024-01-19,11014,마니,여성의류,목폴라,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-19,11004,마니,여성의류,"누빔스커트, 티셔츠, 가디건",상품권,103900,,3,,B235KA99400000F,
M012,이마트_월계점,2024-01-19,11008,마니,여성의류,목폴라,카드,45000,,3,,B235KA99400000F,
M012,이마트_월계점,2024-01-19,11031,마니,여성의류,목폴라,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-19,11030,마니,여성의류,목폴라,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-19,11017,마니,여성의류,목폴라,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-19,11019,마니,여성의류,조끼,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-19,11012,마니,여성의류,원피스,현금,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-19,11005,마니,여성의류,티셔츠,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-19,11018,마니,여성의류,롱가디건,카드,,15000,,1,B235KA99400000F,1/16 판매분
M012,이마트_월계점,2024-01-19,11025,마니,여성의류,티셔츠,카드,30000,,2,,B235KA99400000F,
M012,이마트_월계점,2024-01-19,11010,마니,여성의류,가디건,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-19,11006,마니,여성의류,가디건,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-19,11002,마니,여성의류,가디건,현금,,15000,,1,B235KA99400000F,1/17 판매분
M012,이마트_월계점,2024-01-19,11033,마니,여성의류,목폴라,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-19,11020,마니,여성의류,티셔츠,현금,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-19,11023,마니,여성의류,-,,15000,,1,,B235KA99400000F,당일취소건 추정
M012,이마트_월계점,2024-01-19,11023,마니,여성의류,-,,,15000,,1,B235KA99400000F,당일취소건 추정
M012,이마트_월계점,2024-01-19,11040,세영유니온,여성 모자,모자,카드,39000,,1,,B225KA02400000F,
M012,이마트_월계점,2024-01-19,11013,세영유니온,여성 모자,장갑,카드,15000,,1,,B225KA02400000F,
M012,이마트_월계점,2024-01-19,11009,세영유니온,여성 모자,모자,카드,29000,,1,,B225KA02400000F,
M012,이마트_월계점,2024-01-19,11039,세영유니온,여성 모자,H에코퍼쁘띠,카드,15000,,1,,B225KA02400000F,
M012,이마트_월계점,2024-01-19,11042,세영유니온,여성 모자,장갑,카드,12000,,1,,B225KA02400000F,
M012,이마트_월계점,2024-01-19,11035,세영유니온,여성 모자,H에코퍼쁘띠,카드,15000,,1,,B225KA02400000F,
M012,이마트_월계점,2024-01-19,11001,오브원,홈웨어,원피스,카드,22000,,1,,B225KA04100000F,
M012,이마트_월계점,2024-01-19,11004,오브원,홈웨어,바지,상품권,39000,,1,,B225KA04100000F,
M012,이마트_월계점,2024-01-19,11034,오브원,홈웨어,"남하의, 여하의",카드,38000,,2,,B225KA04100000F,
M012,이마트_월계점,2024-01-19,11011,윈드스카프,양말,니트양말3,카드,10000,,1,,B235KA78500000F,
M012,이마트_월계점,2024-01-19,11015,윈드스카프,양말,니트양말1,카드,4000,,1,,B235KA78500000F,
M012,이마트_월계점,2024-01-19,11041,윈드스카프,양말,양말3,카드,10000,,1,,B235KA78500000F,
M012,이마트_월계점,2024-01-19,11026,윈드스카프,양말,양말3,카드,10000,,1,,B235KA78500000F,
M012,이마트_월계점,2024-01-19,11007,팔레트슬라임,슬라임,크림소다,카드,12500,,1,,B235KB67500000F,
M012,이마트_월계점,2024-01-19,11032,팔레트슬라임,슬라임,애플망고,카드,8900,,1,,B235KB67500000F,
M012,이마트_월계점,2024-01-19,11024,플레인782,문구 및 팬시,-,,18000,,3,,B235KA00300000F,당일취소건 추정
M012,이마트_월계점,2024-01-19,11038,플레인782,문구 및 팬시,샤프,현금,5500,,1,,B235KA00300000F,
M012,이마트_월계점,2024-01-19,11016,플레인782,문구 및 팬시,거울,카드,9900,,1,,B235KA00300000F,
M012,이마트_월계점,2024-01-19,11037,플레인782,문구 및 팬시,모루인형만들기,카드,9900,,1,,B235KA00300000F,
