구분,팝업스토어,기간,시작 날짜,종료 날짜,권역,위치,태그
뷰티,뉴트로지나 딥클린 사이언스 파크 팝업스토어,24.05.24 - 24.05.26,24.05.24,24.05.26,성수,서울특별시 성동구 연무장5길 20 성수 쎈느,"뉴트로지나, 화장품, 뷰티, 클린, 피부관리, 피부, 증정, 포토존, 이벤트"
뷰티,아일 넘버 100 프롬 디아일 팝업스토어,24.05.24 - 24.07.24,24.05.24,24.07.24,성수,서울특별시 성동구 성수이로7가길 11 (주)상현원색 디아일 성수 디아일 성수,"이니스프리, 아일넘버, 우디, 엽서, 스탬프, 체험, 성수, 이벤트, 화장품, 뷰티"
F&B,쇼콜라쏭즈 팝업스토어,24.05.24 - 24.05.30,24.05.24,24.05.30,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울,"쇼콜라쏭즈, 초콜릿, 간식, 디저트, 구움과자, 음료"
전자제품/자동차,KT 특별 팝업 전시 <Vibrant>,24.05.24 - 24.06.09,24.05.24,24.06.09,마포,서울특별시 마포구 포은로 99 1층,"KT, 와이파이, WiFi6D, 신제품, 디지털, 무선공유기, 아티스트, 콜라보, 이벤트, 전시"
패션/잡화,말렌 팝업스토어,24.05.24 - 24.05.26,24.05.24,24.05.26,종로,서울특별시 종로구 자하문로13길 4,"말렌, 패션, 쇼핑, 옷, 편안함, 고퀄리티, 기프트백, 이벤트, 할인, 신제품"
향수/향,탬버린즈 카디퓨저 팝업스토어,24.05.24 - 24.06.09,24.05.24,24.06.09,성수,서울특별시 성동구 아차산로1길 25,"탬버린즈, 자동차, 디퓨저, 아트월, 디자인, 이벤트, 증정, 사전예약"
향수/향,취 성수 팝업스토어,24.05.24 - 24.08.18,24.05.24,24.08.18,성수,서울특별시 성동구 연무장길 89 1층,"취, 퍼품, 향기, 향수, 이벤트, 증정, 할인"
캐릭터/IP,햄토리x모루카 피크닉파티 팝업스토어,24.05.24 - 24.05.30,24.05.24,24.05.30,수원,경기도 수원시 팔달구 덕영대로 924 AK플라자 6층,"모루카, 햄토리, 캐릭터, 굿즈, 콜라보, 쇼핑, 특전, 이벤트"
캐릭터/IP,MONAMHEE'S CLOSET 팝업스토어,24.05.24 - 24.06.03,24.05.24,24.06.03,강남,서울특별시 강남구 강남대로160길 42 라인프렌즈 스퀘어 신사 2F,"모남희, 캐릭터, 굿즈, 인형, 쇼핑, 라인프렌즈"
캐릭터/IP,세서미 스트리트 X 그라플렉스 팝업스토어,24.05.24 - 24.06.04,24.05.24,24.06.04,홍대,서울특별시 마포구 양화로 164 동덕타워 무신사 스토어 홍대,"세서미, 그라플렉스, 무신사, 콜라보, 판화, 키링, 티셔츠, 쇼핑"
캐릭터/IP,담곰이 카페,24.05.24 - 24.08.18,24.05.24,24.08.18,신촌,서울특별시 서대문구 연세로 13 현대백화점 유플렉스 지하1층,"농담곰, 캐릭터, 굿즈, 카페, 콜라보, 팝퍼블, 음료, 이벤트, 디저트, 간식"
