구분,팝업스토어,기간,시작 날짜,종료 날짜,권역,위치,태그
스포츠/건강,코랄리에 팝업스토어,24.05.27 - 24.06.06,24.05.27,24.06.06,강남,서울특별시 강남구 압구정로 407 갤러리아백화점 명품관 지하1층,"코랄리에, 치약, 구강케어, 충치, 불소, 할인, 증정품"
엔터테인먼트,에스파 팝업스토어 <에스파 위크 - 아마겟돈: 더 미스터리 서클>,24.05.28 - 24.06.09,24.05.28,24.06.09,성수,서울특별시 성동구 왕십리로 121,"에스파, 아마겟돈, SM, 아이돌, 여자아이돌, 가수, 앨범, 포토존, 틱톡, 포토부스"
캐릭터/IP,신카이 마코토 # 팝업스토어,24.05.28 - 24.06.09,24.05.28,24.06.09,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울,"신카이마코토, 스즈메의문단속, 너의이름은, 미디어캐슬, 굿즈캐슬, 감독, 영화, 애니메이션, 날씨의아이"
캐릭터/IP,Hall of Legends 팝업스토어 : 페이커 신전,24.05.29 - 24.06.16,24.05.29,24.06.16,종로,서울특별시 중구 청계천로 40 한국관광공사 서울센터 하이커그라운드,"리그오브레전드, 전설, 페이커, e스포츠, 게임, 전시, 포토존, 체험, 전설의전당, 스킨"
기관/금융,2024 마카오 팝업스토어 <Find My Favorite Macao>,24.05.30 - 24.06.02,24.05.30,24.06.02,강남,서울특별시 서초구 신반포로 176 센트럴시티 신세계백화점 오픈스테이지,"마카오정부관광청, 마카오, 관광, 해외, 여행, 체험, 문화, 이벤트"
기타,여의도 더현대 워터밤 팝업,24.05.30 - 24.06.05,24.05.30,24.06.05,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울 지하2층 아이코닉존,"워터밤, 여름, 입장티켓, 티켓, 쇼핑, 축제, 서울, 페스티벌, 공연"
F&B,시시호시 X 펀더멘탈브루잉 팝업스토어,24.05.30 - 24.06.09,24.05.30,24.06.09,수원,경기도 수원시 권선구 세화로 134 타임빌라스 수원 3층 다이닝 에비뉴,"시시호시, 펀더멘탈브루잉, 라이프스타일, 큐레이션, 맥주, 수제맥주, 주류, 술, 양조장, 효모, 행궁, 낙남헌, 이벤트"
F&B,롯데마트 요리하다 오스테리아 팝업,24.05.30 - 24.06.26,24.05.30,24.06.26,성수,서울특별시 성동구 아차산로 3 성수동 아파트형 공장 두앤캔 하우스 1층,"롯데마트, 요리하다, 이탈리아, PB, 이탈리안, 식품, 쇼핑, 할인, 사전예약, 메뉴, 요리"
패션/잡화,테바 팝업스토어 WHERE TO NEXT?,24.05.30 - 24.06.02,24.05.30,24.06.02,성수,서울특별시 성동구 서울숲길 53 1층,"테바, 아웃도어, 여행, 힐링, 휴식, 이벤트, 패션, 쇼핑"
패션/잡화,틸버 팝업스토어 <Titi's Letter>,24.05.30 - 24.06.05,24.05.30,24.06.05,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울 지하2층 EAST ZONE,"틸버, 패션, 쇼핑, 옷, 티티, 여름, 신제품, 할인, 증정, 이벤트, 클래식캐주얼, 캐주얼"
패션/잡화,김씨네과일 팝업스토어 in 코엑스,24.05.30 - 24.06.16,24.05.30,24.06.16,강남,서울특별시 강남구 봉은사로 524 코엑스인터콘티넨탈서울 코엑스몰 지하1층,"김씨네과일, 패션, 쇼핑, 옷, 꾸미기, 별마당도서관, 강남, 코엑스, 이벤트"
패션/잡화,아라바그 성수 팝업스토어,24.05.30 - 24.07.31,24.05.30,24.07.31,성수,서울특별시 성동구 성수이로7가길 23 1층,"아라바그, 리사이클, 환경, 환경보호, 패션, 쇼핑"
패션/잡화,PISCESS X NICE WEATHER 가로수길,24.05.30 - 24.07.31,24.05.30,24.07.31,강남,서울특별시 강남구 강남대로162길 35 1층 나이스웨더마켓,"파이시스, 나이스웨더, 패션, 의류, 콜라보, 여름, 굿즈, 바캉스"
기관/금융,굿네이버스 지구여행 사진전,24.05.31 - 24.06.07,24.05.31,24.06.07,성수,서울특별시 성동구 성수이로7가길 9 카페 할아버지 공장,"굿네이버스, 지구, 환경보호, 환경, 사진, 전시, 기후변화, 포토존, 기념품"
뷰티,디올 뷰티 디올리비에라 팝업,24.05.31 - 24.06.30,24.05.31,24.06.30,성수,서울특별시 성동구 연무장5길 9-13,"디올, 뷰티, 화장품, 프랑스, 리비에라, 사전예약"
뷰티,메디필 모공 세탁소 팝업스토어,24.05.31 - 24.06.30,24.05.31,24.06.30,강남,서울특별시 서초구 강남대로 429 올리브영 강남 타운,"메디필, 올리브영, 모공, 클렌징, 화장품, 뷰티, 피부관리, 피부, 이벤트, 제로베이스원, 굿즈"
스포츠/건강,삼성생명 팝업스토어 <비추미 건강원>,24.05.31 - 24.06.09,24.05.31,24.06.09,홍대,서울특별시 마포구 동교로30길 21,"삼성생명, 비추미건강원, 건강, 보험, 생명보험, 연남, 조선, 컨셉"
스포츠/건강,위아바임 팝업스토어,24.05.31 - 24.06.02,24.05.31,24.06.02,성수,서울특별시 성동구 연무장15길 11 태광산업 EQL 성수,"위아바임, 건강기능식품, 체험, 포토존, 쇼핑, 문가영, 팬밋업, 경동제약"
F&B,리노라다 팝업스토어,24.05.31 - 24.06.06,24.05.31,24.06.06,대학로,"서울특별시 동대문구 왕산로 214 청량리역,롯데백화점 식품관","리노라다, 초콜릿, 디저트, 간식, 스프레드, 초코스프레드, 할인, 이벤트"
엔터테인먼트,제로베이스원 팝업스토어 in 강남,24.05.31 - 24.06.09,24.05.31,24.06.09,강남,서울특별시 서초구 강남대로 437 대원빌딩 라인프렌즈 강남 플래그십스토어,"제로베이스원, 아이돌, 남자아이돌, 가수, 굿즈, 쇼핑, 사전예약"
여행,춘천 팝업스토어 <춘천행매표소>,24.05.31 - 24.06.02,24.05.31,24.06.02,성수,서울특별시 성동구 서울숲2길 27,"춘천, 지역, 관광, 여행, 기차, 추억, 이벤트, 힐링, 휴식"
패션/잡화,콰트로 팝업 부티크,24.05.31 - 24.06.09,24.05.31,24.06.09,성수,서울특별시 성동구 연무장길 26,"부쉐론, 부쉐론콰트로, 뷰티, 주얼리, 20주년, 사전예약"
패션/잡화,마크모크 X 보라끌레르 팝업스토어,24.05.31 - 24.06.01,24.05.31,24.06.01,성수,서울특별시 성동구 아차산로13길 11 cafe ASNISUM,"마크모크, 보라끌레르, 패션, 쇼핑, 유튜버, 콜라보, 레인부츠, 샌들, 여름, 이벤트"
패션/잡화,살리다 팝업스토어,24.05.31 - 24.06.06,24.05.31,24.06.06,명동,서울특별시 중구 소공로 63 신세계백화점건물 본점 신관 2층,"살리다, 업사이클링, 패션, 쇼핑, 가방, 환경, 환경보호"
패션/잡화,헌터 썸머 레인 부츠 페스타 팝업,24.05.31 - 24.07.28,24.05.31,24.07.28,기타,경기도 파주시 탄현면 필승로 200 파주프리미엄아울렛 센트럴스퀘어,"헌터, HUNTER, 부츠, 레인부츠, 글로벌, 포토존, 인증샷, 할인, 이벤트, 증정"
패션/잡화,PISCESS X NICE WEATHER 더현대서울,24.05.31 - 24.07.31,24.05.31,24.07.31,여의도,서울특별시 영등포구 여의대로 108 더현대 서울 B2,"파이시스, 나이스웨더, 패션, 의류, 콜라보, 여름, 굿즈, 바캉스"
캐릭터/IP,베티붑 팝업스토어,24.05.31 - 24.06.13,24.05.31,24.06.13,홍대,서울특별시 마포구 양화로 188 애경타워 홍대 AK플라자 2층,"베티붑, 캐릭터, 패션, 쇼핑, 옷, 굿즈, 이벤트, 증정"
캐릭터/IP,키키쿼카 팝업 <키키 아일랜드>,24.05.31 - 24.06.20,24.05.31,24.06.20,수원,경기도 수원시 장안구 수성로 175 스타필드 수원 4층,"키키쿼카, 캐릭터, 굿즈, 쇼핑, 다꾸, 이벤트, 포토존, 옷입히기, 체험"
캐릭터/IP,후긴앤무닌 팝업스토어 <GREEN OF EARLY SUMMER>,24.05.31 - 24.06.24,24.05.31,24.06.24,종로,서울특별시 종로구 필운대로 6-1 아이에스빌딩 2층 원모어백,"후긴앤무닌, 일러스트, 드로잉, 굿즈, 도자기, 디자인, 기록"
도서/문구,문보장(文寶藏),24.06.01 - 24.08.31,24.06.01,24.08.31,부산,부산광역시 기장군 기장읍 기장해안로 267-7 아난티 앳 부산 빌라쥬,"문보장, 편집샵, 문구, 소품, 굿즈, 이벤트"
리빙/라이프스타일,리튼 X 쉐누아파리 팝업스토어,24.06.01 - 24.07.14,24.06.01,24.07.14,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울 2층 르베이지 매장 옆,"리튼, 쉐누아파리, 리빙, 쇼핑, 이벤트, 패션, 가구, 소파"
리빙/라이프스타일,리튼 X 더 그란 팝업스토어,24.06.01 - 24.07.31,24.06.01,24.07.31,강남,서울특별시 서초구 신반포로 176 센트럴시티 신세계백화점 강남점 9층,"리튼, 더그란, 리빙, 가구, 소품, 피크닉, 신제품, 할인, 이벤트"
문화/예술,"Oasis Lab 팝업스토어 <Hey, pops!>",24.06.01 - 24.06.16,24.06.01,24.06.16,홍대,서울특별시 마포구 잔다리로3안길 12 1층 오아시스랩 카페,"오아시스랩, 김이로, 굿즈, 일러스트, 쇼핑, 카페"
뷰티,딘시 X 벨리곰 팝업스토어,24.06.01 - 24.06.30,24.06.01,24.06.30,제주,"제주특별자치도 제주시 공항로 2 제주국제공항 1층 3, 4번 게이트 사이","딘시, 벨리곰, 콜라보, 제주도, 제주공항, 이벤트, 여행, 관광, 화장품, 뷰티, 쇼핑"
스포츠/건강,리스테린 성수 팝업스토어,24.06.01 - 24.06.06,24.06.01,24.06.06,성수,서울특별시 성동구 연무장길 81 남경빌딩 1층,"리스테린, 무신사, 성수, 구강케어, 이벤트, 증정, 신이어마켙, 시니어, 굿즈, 쇼핑"
F&B,제로웨이스트 비건 팝업 마켓,24.06.01 - 24.06.01,24.06.01,24.06.01,강남,서울특별시 강남구 봉은사로 155 호텔 카푸치노,"호텔카푸치노, 비건, 제로웨이스트, 건강, 환경, 루프탑, 생맥주, 칵테일"
F&B,오크베리 팝업스토어,24.06.01 - 24.08.18,24.06.01,24.08.18,강남,서울특별시 강남구 테헤란로 517 현대백화점 무역센터점 지하1층,"오크베리, 음료, 아사이, 건강, 토핑, 글로벌"
기관/금융,아보카도 X 마루콜렉트 팝업스토어 <Money Clinic : 내 월급 처방전(展)>,24.06.03 - 24.07.05,24.06.03,24.07.05,강남,서울특별시 강남구 역삼로 180 MARU 180 1층,"아보카도, 마루콜렉트, 브랜드, 월급, 자산, 핀테크, 맞춤형, 투자, 월급관리, 스타트업, 이벤트"
리빙/라이프스타일,샤또닥스 팝업스토어,24.06.03 - 24.06.23,24.06.03,24.06.23,분당,경기도 성남시 분당구 판교역로146번길 20 현대백화점 판교점 8층,"샤또닥스, 소파, 가구, 이탈리아, 이벤트, 전시"
스포츠/건강,FC서울 팝업스토어,24.06.03 - 24.06.09,24.06.03,24.06.09,잠실,서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰 3층,"FC서울, 축구, 유니폼, 한정, 스페셜킷, 이벤트, 스포츠, 운동, 기성용, 린가드, 팬사인회"
F&B,하트 티라미수,24.06.03 - 24.07.14,24.06.03,24.07.14,여의도,서울특별시 영등포구 여의대로 108 더현대 서울 B1,"하트티라미수, 티라미수, 디저트"
패션/잡화,인디고션 블루 팝업스토어,24.06.03 - 24.06.13,24.06.03,24.06.13,강남,서울특별시 강남구 압구정로 165 현대백화점본점 지하2층 PS2 행사장,"인디고션블루, 패션, 옷, 쇼핑, 액세서리, 굿즈"
패션/잡화,김씨네과일 팝업스토어 in 명동,24.06.03 - 24.06.30,24.06.03,24.06.30,명동,서울특별시 중구 남대문로 67 롯데영플라자,"김씨네과일, 패션, 쇼핑, 옷, 꾸미기, 명동"
캐릭터/IP,RJ 웰컴 파티 팝업 in 홍대,24.06.04 - 24.07.01,24.06.04,24.07.01,홍대,서울특별시 마포구 양화로 141 롯데호텔 L7홍대 라인프렌즈 홍대 플래그십 스토어,"라인프렌즈, 라인프렌즈스퀘어, RJ, BT21, BTS, 캐릭터, 쇼핑, 굿즈, 인형"
캐릭터/IP,RJ 웰컴 파티 팝업 in 명동,24.06.04 - 24.07.01,24.06.04,24.07.01,명동,서울특별시 중구 명동길 43 신한은행 라인프렌즈 홍대 플래그십 스토어,"라인프렌즈, 라인프렌즈스퀘어, RJ, BT21, BTS, 캐릭터, 쇼핑, 굿즈, 인형"
리빙/라이프스타일,스탠리 무신사 홍대 팝업스토어,24.06.05 - 24.06.20,24.06.05,24.06.20,홍대,서울특별시 마포구 양화로 164 동덕타워 무신사 스토어 홍대,"스탠리, 텀블러, 홍대, 무신사, 쇼핑, 이벤트, 혜택, 경품"
문화/예술,전시 [Kamwei Fong : The Furry Thing],24.06.05 - 24.07.14,24.06.05,24.07.14,잠실,서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰 2층,"넥스트뮤지엄, 전시, 말레이시아, 동물, 드로잉, 원화, 굿즈, 귀여움, 반려동물"
F&B,농심 팝업스토어 <새우깡 어드벤처 in 고래섬>,24.06.05 - 24.06.23,24.06.05,24.06.23,성수,서울특별시 성동구 성수이로18길 6-1,"농심, 새우깡, 과자, 스낵, 간식, 디저트, 이벤트"
엔터테인먼트,뉴진스 How Sweet 팝업 in 신사,24.06.05 - 24.06.17,24.06.05,24.06.17,강남,서울특별시 강남구 강남대로160길 42 라인프렌즈 스퀘어 신사,"뉴진스, 아이돌, 여자아이돌, 가수, 앨범, 컴백, 신사, 라인프렌즈, 굿즈, 쇼핑"
패션/잡화,이구성수 팝업스토어 <모래를 밟기로 하였다>,24.06.05 - 24.06.30,24.06.05,24.06.30,성수,서울특별시 성동구 아차산로 78 남양에코넷센터 이구성수,"29CM, 이구성수, 패션, 옷, 쇼핑, Mmlg, KEEN, 콜라보"
캐릭터/IP,앵콜! 탄광마을 흰둥이 잠실 팝업스토어,24.06.05 - 24.06.16,24.06.05,24.06.16,잠실,서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰 1층,"짱구는못말려, 탄광마을, 흰둥이, 캐릭터, 굿즈, 쇼핑, 닌텐도, 게임, 애니메이션, 만화"
캐릭터/IP,24년 짱구는 못말려 잠실 팝업스토어,24.06.05 - 24.06.16,24.06.05,24.06.16,잠실,서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰 1층 아트리움,"짱구는못말려, 짱구, 캐릭터, 애니메이션, 만화, 이벤트, 포토존, 굿즈, 쇼핑"
문화/예술,경기아트센터 20주년 기념 기획전시 <인생사진관>,24.06.06 - 24.06.30,24.06.06,24.06.30,수원,경기도 수원시 팔달구 효원로307번길 20 경기아트센터 갤러리,"경기아트센터, 전시, 사진, 스튜디오, 포토부스, 촬영, 체험"
스포츠/건강,PSG코리아 더현대 팝업스토어,24.06.06 - 24.06.12,24.06.06,24.06.12,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울 지하2층 아이코닉존,"PSG, 파리생제르망, 저지, 클럽, 라이프스타일, 프로모션, 이벤트, 스포츠, 축구"
여행,아시아나 색동크루 팝업스토어,24.06.06 - 24.06.16,24.06.06,24.06.16,성수,서울특별시 성동구 서울숲2길 27,"아시아나항공, 항공, 비행기, 여행, 캐릭터, 색동크루, 서울숲"
패션/잡화,시엔느 X 산리오 캐릭터즈 팝업스토어,24.06.06 - 24.06.12,24.06.06,24.06.12,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울,"시엔느, 산리오, 캐릭터, 패션, 쇼핑, 옷, 콜라보"
패션/잡화,다이노탱 X 빅토리아슈즈 팝업스토어,24.06.06 - 24.06.16,24.06.06,24.06.16,한남,서울특별시 용산구 이태원로 230 무신사 스퀘어 한남,"다이노탱, 빅토리아슈즈, 쿼카, 콜라보, 캐릭터, 굿즈, 패션, 쇼핑, 사은품, 이벤트"
패션/잡화,락피쉬웨더웨어 부산 전포 팝업스토어,24.06.06 - 24.08.31,24.06.06,24.08.31,부산,부산광역시 부산진구 동성로71번길 38 락피쉬웨더웨어 부산점,"락피쉬, 패션, 쇼핑, 신발, 레인부츠, 여름, 전포사잇길, 이벤트, 할인, 부산, 락피쉬웨더웨어"
캐릭터/IP,나우인명동 X 스누피 마켓 팝업스토어,24.06.06 - 24.08.14,24.06.06,24.08.14,명동,서울특별시 중구 명동길 15 나우인명동,"나우인명동, 스누피, 보프렌즈, 캐릭터, 콜라보, 명동, 굿즈, 이벤트, 한정판"
기관/금융,2024 도시재생대학 팝업스토어,24.06.07 - 24.08.05,24.06.07,24.08.05,기타,경상남도 창원시 진해구 중원로 88-1,"도시재생, 뉴딜사업, 지역, 창원, 체험, 참여"
문화/예술,경로를 이탈하여 재탐색합니다,24.06.07 - 24.06.23,24.06.07,24.06.23,성수,서울특별시 성동구 서울숲6길 8-1 수덕빌딩 3층 ARBY,"최진영, 선우윤빈, 전시, 일러스트, 굿즈, 드로잉"
뷰티,더샘 성수 팝업스토어 (I am) THE SAEM,24.06.07 - 24.06.23,24.06.07,24.06.23,성수,서울특별시 성동구 연무장17길 5 1층,"더샘, 화장품, 뷰티, 선물, 피부, 진단, 테스트, 기부, 이벤트, 컨실러, 음료"
F&B,몽그레 더현대서울 팝업스토어,24.06.07 - 24.06.13,24.06.07,24.06.13,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대서울,"몽그레, 제주, 찰보리과자, 과자, 디저트, 간식, 제주도, 굿즈"
F&B,우주 최초 괴식 페어링 짐빔괴식당,24.06.07 - 24.06.30,24.06.07,24.06.30,성수,서울특별시 성동구 성수일로 1,"짐빔, 하이볼, 맥주, 음식, 식당, 메뉴, 주류, 술"
엔터테인먼트,영화 <타로> 팝업스토어,24.06.07 - 24.06.16,24.06.07,24.06.16,강남,서울특별시 강남구 강남대로 426 진우빌딩 일상비일상의틈byU+ 1층,"타로, 영화, 극장, 강남, 스틸컷, 라떼, 운명, 이벤트"
패션/잡화,가든익스프레스 2024 SUMMER 팝업스토어,24.06.07 - 24.06.09,24.06.07,24.06.09,성수,서울특별시 성동구 연무장길 33 삼일금속영업부,"가든익스프레스, 여름, 패션, 쇼핑, 옷, 할인, 신제품, 이벤트, 사은품"
패션/잡화,슈마커 X 찌오 팝업스토어 : 슈마커랑 놀러가찌오,24.06.07 - 24.06.20,24.06.07,24.06.20,명동,서울특별시 중구 명동길 26 유네스코회관 슈마커플러스 명동점,"슈마커, 찌오, 찌그렁오리, 콜라보, 패션, 쇼핑, 신발, 캐릭터, 한정판, 굿즈, 이벤트"
패션/잡화,워브먼트 팝업스토어,24.06.07 - 24.07.04,24.06.07,24.07.04,부산,부산광역시 부산진구 가야대로 722 롯데백화점 부산 본점 7층,"워브먼트, 패션, 쇼핑, 옷, 이벤트, 할인, 증정, 부산"
캐릭터/IP,토이스토리 X TinyTAN 부산 팝업스토어,24.06.07 - 24.06.20,24.06.07,24.06.20,부산,부산광역시 해운대구 센텀남대로 35 신세계백화점센텀시티점,"토이스토리, 타이니탄, 콜라보, 위드스팟, 굿즈, 방탄소년단, BTS, 쇼핑, 포토존"
뷰티,록시땅 섬머 브리즈 라운지 팝업,24.06.08 - 24.06.18,24.06.08,24.06.18,성수,서울특별시 성동구 연무장길 81 남경빌딩 1층 무신사 스퀘어 성수2,"록시땅, 뷰티, 힐링, 여름, 청량, 클렌징, 프레시"
F&B,삼진어묵 <삼진포차 in 광안리>,24.06.09 - 24.11.02,24.06.09,24.11.02,부산,부산광역시 수영구 광안해변로 251 3층,"삼진어묵, 어묵, 포차, 삼진포차, 안주, 광안리"
뷰티,브레이 팝업스토어,24.06.10 - 24.06.23,24.06.10,24.06.23,성수,서울특별시 성동구 연무장길 33 삼일금속영업부 1층,"브레이, 패션, 쇼핑, 옷, 잡화, 증정, 이벤트"
엔터테인먼트,아이돌 서바이벌 I-LAND2 N/a 팝업스토어,24.06.10 - 24.06.16,24.06.10,24.06.16,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울 지하2층 사운드웨이브 카페,"아이돌, 케이팝, 서바이벌, I-LAND, 가수, 데뷔"
엔터테인먼트,잠뜰TV 10주년 팝업스토어,24.06.10 - 24.06.23,24.06.10,24.06.23,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울 지하1층 대행사장,"잠뜰TV, 10주년, 굿즈, 쇼핑, 더현대서울, 인생네컷, 포토존, 이벤트, 유튜브, 유튜버, 픽셀리"
패션/잡화,미쏘 썸머 바캉스 팝업 <MIXXO in Bali>,24.06.10 - 24.06.30,24.06.10,24.06.30,부천,경기도 부천시 원미구 길주로 180 현대백화점 중동점 유플렉스 1층,"미쏘, 패션, 쇼핑, 옷, 여름, 바캉스, 이벤트, 포토부스, 할인"
F&B,추억의 분식 팝업,24.06.11 - 24.06.11,24.06.11,24.06.11,강남,서울특별시 강남구 도산대로53길 19 2층 금토일샴페인빠 압구정점,"추억의분식, 분식, 셰프, 여성셰프, 식품, 메뉴, 음식, 주류, 술, 콜라보"
패션/잡화,마뗑킴 팝업스토어,24.06.11 - 24.06.30,24.06.11,24.06.30,잠실,서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰 에비뉴엘 지하1층 팝업존,"마뗑킴, MatinKim, 패션, 쇼핑, 스트릿, 그래피티, 빈티지, 사은품, 이벤트"
패션/잡화,벤시몽 팝업스토어 summer piknic,24.06.11 - 24.06.30,24.06.11,24.06.30,명동,서울특별시 중구 퇴계로6가길 30 피크닉 지하1층,"벤시몽, 패션, 쇼핑, 신발, 이벤트, 여름, 레인부츠, 할인"
캐릭터/IP,플레이인더박스 포켓몬 컨셉스토어 in 더현대서울,24.06.11 - 24.07.04,24.06.11,24.07.04,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울 5층 플레이인더박스,"포켓몬스터, 애니메이션, 캐릭터, 만화, 플레이인더박스, 콜라보, 컨셉스토어, 네컷사진, 피크닉, 굿즈, 쇼핑, DIY, 키링"
캐릭터/IP,플레이인더박스 포켓몬 컨셉스토어 in 코엑스,24.06.11 - 24.07.04,24.06.11,24.07.04,강남,서울특별시 강남구 영동대로 513 코엑스 지하2층 플레이인더박스 메가박스 코엑스점,"포켓몬스터, 애니메이션, 캐릭터, 만화, 플레이인더박스, 콜라보, 컨셉스토어, 네컷사진, 피크닉, 굿즈, 쇼핑, DIY, 키링"
리빙/라이프스타일,페이퍼어드벤처 시즌3 무해월드 in 고양,24.06.12 - 24.06.25,24.06.12,24.06.25,기타,경기도 고양시 덕양구 고양대로 1955 스타필드 고양,"무림페이퍼, 무해월드, 페이퍼어드벤처, 스타필드, 포토존, 클래스, 체험, 저탄소, 종이접기, 네모아저씨"
F&B,아이시스8.0 업사이클링 팝업트럭,24.06.12 - 24.06.16,24.06.12,24.06.16,성수,서울특별시 성동구 연무장1길 7-1,"롯데칠성음료, 아이시스, 생수, 공간와디즈, 업사이클링, 분리배출, 분리수거, 환경보호, 환경, 사전예약, 이벤트"
패션/잡화,예거 르쿨트르 팝업스토어 <The Adventure Spirit>,24.06.12 - 24.06.25,24.06.12,24.06.25,잠실,서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰 월드파크 잔디광장,"예거르쿨트르, 패션, 쇼핑, 시계, 스포츠워치, 잠실, 체험"
캐릭터/IP,이나피스퀘어 : WORK OUR WORK,24.06.12 - 24.07.30,24.06.12,24.07.30,홍대,서울특별시 마포구 와우산로35길 13 오브젝트 서교점,"이나피스퀘어, 캐릭터, 일러스트, 드로잉, 굿즈, 다꾸, 쇼핑"
캐릭터/IP,슈퍼배드4 왕크왕크 악당 처리반 EVENT,24.06.12 - 24.07.30,24.06.12,24.07.30,잠실,서울특별시 송파구 올림픽로 300 롯데시네마 월드타워점,"슈퍼배드, 미니언즈, 영화, 캐릭터, 포토존, 이벤트"
캐릭터/IP,슈퍼배드4 미니 악당퇴치본부 EVENT,24.06.12 - 24.07.31,24.06.12,24.07.31,용산,서울특별시 용산구 한강대로23길 55 아이파크몰 용산점 6층 CGV 용산아이파크몰,"슈퍼배드, 미니언즈, 영화, 캐릭터, 포토존, 이벤트"
기관/금융,토스 팝업스토어 : THE MONEY BOOK CAFE,24.06.13 - 24.06.16,24.06.13,24.06.16,성수,서울특별시 성동구 연무장길 46 성수 프리미스,"토스, 토스뱅크, 은행, 금융, 머니북, 경품, 이벤트, 재테크, 전시, 포토존"
캐릭터/IP,옵젵상가 X 최고심 부산 팝업스토어 [속마음 비밀해제],24.06.13 - 24.07.31,24.06.13,24.07.31,부산,부산광역시 부산진구 전포대로255번길 41 전포상가 D동 116호,"최고심, 옵젵상가, 오브젝트, 캐릭터, 굿즈, 다꾸, 와펜, DIY, 꾸미기, 부산"
리빙/라이프스타일,"Alloso 4th Exhibition l Blue Moment, Darling",24.06.14 - 24.06.15,24.06.14,24.06.15,강남,서울특별시 강남구 논현로132길 5 윤현상재 머티리얼 라이브러리,"전시, 알로소, 일상, 쉼, 휴식, 소파, 파란색, 가구, 인테리어"
리빙/라이프스타일,이상한 나라의 지구랜드,24.06.14 - 24.06.16,24.06.14,24.06.16,성수,서울특별시 성동구 뚝섬로 404 스노화이트성수1,"지구랜드, 환경보호, 지구, 환경, 지속가능, 전시, 코코콘, 사전예약, 이벤트, 혜택, 누스미크, 단자리, 랜들리, 예아네꽃, 지구자판기, 치공"
뷰티,힌스 팝업스토어 BLUE DIVE,24.06.14 - 24.06.23,24.06.14,24.06.23,성수,"서울특별시 성동구 연무장길 31-1 금호아파트 1층, 카페 517랩","힌스, 뷰티, 화장품, 이벤트, 증정, 시원함, 에디션, 여름, 엔하이픈, 성훈"
F&B,브로트아트 팝업스토어,24.06.14 - 24.06.27,24.06.14,24.06.27,잠실,서울특별시 송파구 올림픽로 240 롯데월드 롯데백화점 잠실점 지하1층 식품관 팝업존,"브로트아트, 신메뉴, 빵, 베이커리, 디저트, 간식"
F&B,베베씨의 베이커리,24.06.14 - 24.06.29,24.06.14,24.06.29,성수,서울특별시 성동구 연무장17길 10 LCDC 1층,"베어베터, 발달장애인, 베이킹, 수제쿠키, 구움과자, 디저트, 간식"
엔터테인먼트,파묘: 그곳의 뒤편,24.06.14 - 24.06.23,24.06.14,24.06.23,성수,서울특별시 성동구 성수이로18길 20 세원정밀,"파묘, 영화, 김고은, 최민식, 유해진, 이도현, 굿즈, 전시, 무속, 오컬트"
엔터테인먼트,RIIZE X EVERLINE 팝업스토어,24.06.14 - 24.06.23,24.06.14,24.06.23,수원,경기도 수원시 장안구 수성로 175 스타필드 수원 1층 그랜드 아트리움,"라이즈, 에버라인, 아이돌, 남자아이돌, 앨범, 컴백, 굿즈, 쇼핑, 브리즈"
여행,크래쉬배기지 팝업스토어,24.06.14 - 24.06.30,24.06.14,24.06.30,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울 2층,"크래쉬배기지, crashbaggage, 여행, 가방, 캐리어, 이벤트, 사은품, 할인"
패션/잡화,웨비X엄브로 : 엄브로 100주년 기념 팝업스토어,24.06.14 - 24.07.06,24.06.14,24.07.06,부산,부산광역시 해운대구 센텀남대로 35 신세계백화점센텀시티점 지하2층 중앙광장,"신세계백화점, 엄브로, 축구, 정통, 스포츠, 유니폼, 패션, 쇼핑, 웨비, 전시"
패션/잡화,PISCESS X NICE WEATHER 더현대대구,24.06.14 - 24.07.31,24.06.14,24.07.31,대구,대구광역시 중구 달구벌대로 2077 더현대 대구 B2,"파이시스, 나이스웨더, 패션, 의류, 콜라보, 여름, 굿즈, 바캉스"
기관/금융,황금도토리를 찾아라 팝업스토어,24.06.15 - 24.06.21,24.06.15,24.06.21,기타,경상남도 창원시 성산구 용호로 96 가로수길 일대(스펀지파크),"BNK경남은행, 경남은행, 금융, 은행, 창원, 문화, 청년, 굿즈, 캐릭터, 공연, 플리마켓, 지역, 예술, 청년, 체험, 기부"
